session,site,SVC_date,SVC_dive_start,SVC_dive_end
158,KL-P6,2014-09-22,1508,1540
158,KL-P6,2014-09-22,1508,1540
158,KL-P6,2014-09-22,1508,1540
158,KL-P6,2014-09-22,1508,1540
158,KL-P6,2014-09-22,1508,1540
158,KL-P6,2014-09-22,1508,1540
158,KL-P6,2014-09-22,1508,1540
158,KL-P6,2014-09-22,1508,1540
158,KL-P6,2014-09-22,1508,1540
158,KL-P6,2014-09-22,1508,1540
158,KL-P6,2014-09-22,1508,1540
158,KL-P6,2014-09-22,1508,1540
158,KL-P6,2014-09-22,1508,1540
158,KL-P6,2014-09-22,1508,1540
158,KL-P6,2014-09-22,1508,1540
158,KL-P6,2014-09-22,1508,1540
159,KL-P7,2014-09-22,1415,1445
159,KL-P7,2014-09-22,1415,1445
159,KL-P7,2014-09-22,1415,1445
159,KL-P7,2014-09-22,1415,1445
159,KL-P7,2014-09-22,1415,1445
159,KL-P7,2014-09-22,1415,1445
159,KL-P7,2014-09-22,1415,1445
159,KL-P7,2014-09-22,1415,1445
159,KL-P7,2014-09-22,1415,1445
159,KL-P7,2014-09-22,1415,1445
159,KL-P7,2014-09-22,1415,1445
159,KL-P7,2014-09-22,1415,1445
159,KL-P7,2014-09-22,1415,1445
159,KL-P7,2014-09-22,1415,1445
159,KL-P7,2014-09-22,1415,1445
159,KL-P7,2014-09-22,1415,1445
159,KL-P7,2014-09-22,1415,1445
159,KL-P7,2014-09-22,1415,1445
159,KL-P7,2014-09-22,1415,1445
159,KL-P7,2014-09-22,1415,1445
159,KL-P7,2014-09-22,1415,1445
159,KL-P7,2014-09-22,1415,1445
159,KL-P7,2014-09-22,1415,1445
159,KL-P7,2014-09-22,1415,1445
159,KL-P7,2014-09-22,1415,1445
159,KL-P7,2014-09-22,1415,1445
160,KL-P8,2014-09-22,1312,1400
160,KL-P8,2014-09-22,1312,1400
160,KL-P8,2014-09-22,1312,1400
160,KL-P8,2014-09-22,1312,1400
160,KL-P8,2014-09-22,1312,1400
160,KL-P8,2014-09-22,1312,1400
160,KL-P8,2014-09-22,1312,1400
160,KL-P8,2014-09-22,1312,1400
160,KL-P8,2014-09-22,1312,1400
160,KL-P8,2014-09-22,1312,1400
160,KL-P8,2014-09-22,1312,1400
160,KL-P8,2014-09-22,1312,1400
160,KL-P8,2014-09-22,1312,1400
160,KL-P8,2014-09-22,1312,1400
160,KL-P8,2014-09-22,1312,1400
160,KL-P8,2014-09-22,1312,1400
160,KL-P8,2014-09-22,1312,1400
160,KL-P8,2014-09-22,1312,1400
160,KL-P8,2014-09-22,1312,1400
160,KL-P8,2014-09-22,1312,1400
160,KL-P8,2014-09-22,1312,1400
160,KL-P8,2014-09-22,1312,1400
161,KL-W7,2014-09-22,1133,1220
161,KL-W7,2014-09-22,1133,1220
161,KL-W7,2014-09-22,1133,1220
161,KL-W7,2014-09-22,1133,1220
161,KL-W7,2014-09-22,1133,1220
161,KL-W7,2014-09-22,1133,1220
161,KL-W7,2014-09-22,1133,1220
161,KL-W7,2014-09-22,1133,1220
161,KL-W7,2014-09-22,1133,1220
161,KL-W7,2014-09-22,1133,1220
161,KL-W7,2014-09-22,1133,1220
161,KL-W7,2014-09-22,1133,1220
161,KL-W7,2014-09-22,1133,1220
161,KL-W7,2014-09-22,1133,1220
161,KL-W7,2014-09-22,1133,1220
161,KL-W7,2014-09-22,1133,1220
161,KL-W7,2014-09-22,1133,1220
161,KL-W7,2014-09-22,1133,1220
161,KL-W7,2014-09-22,1133,1220
161,KL-W7,2014-09-22,1133,1220
161,KL-W7,2014-09-22,1133,1220
161,KL-W7,2014-09-22,1133,1220
161,KL-W7,2014-09-22,1133,1220
161,KL-W7,2014-09-22,1133,1220
161,KL-W7,2014-09-22,1133,1220
161,KL-W7,2014-09-22,1133,1220
161,KL-W7,2014-09-22,1133,1220
161,KL-W7,2014-09-22,1133,1220
162,DANGER 88,2014-09-24,1312,1330
162,DANGER 88,2014-09-24,1312,1330
162,DANGER 88,2014-09-24,1312,1330
162,DANGER 88,2014-09-24,1312,1330
162,DANGER 88,2014-09-24,1312,1330
162,DANGER 88,2014-09-24,1312,1330
162,DANGER 88,2014-09-24,1312,1330
162,DANGER 88,2014-09-24,1312,1330
162,DANGER 88,2014-09-24,1312,1330
162,DANGER 88,2014-09-24,1312,1330
162,DANGER 88,2014-09-24,1312,1330
162,DANGER 88,2014-09-24,1312,1330
162,DANGER 88,2014-09-24,1312,1330
162,DANGER 88,2014-09-24,1312,1330
162,DANGER 88,2014-09-24,1312,1330
162,DANGER 88,2014-09-24,1312,1330
162,DANGER 88,2014-09-24,1312,1330
163,KL-30,2014-09-24,1430,1510
163,KL-30,2014-09-24,1430,1510
163,KL-30,2014-09-24,1430,1510
163,KL-30,2014-09-24,1430,1510
163,KL-30,2014-09-24,1430,1510
163,KL-30,2014-09-24,1430,1510
163,KL-30,2014-09-24,1430,1510
163,KL-30,2014-09-24,1430,1510
163,KL-30,2014-09-24,1430,1510
163,KL-30,2014-09-24,1430,1510
163,KL-30,2014-09-24,1430,1510
163,KL-30,2014-09-24,1430,1510
163,KL-30,2014-09-24,1430,1510
163,KL-30,2014-09-24,1430,1510
163,KL-30,2014-09-24,1430,1510
163,KL-30,2014-09-24,1430,1510
163,KL-30,2014-09-24,1430,1510
163,KL-30,2014-09-24,1430,1510
164,KL-P4,2014-09-24,1608,1645
164,KL-P4,2014-09-24,1608,1645
164,KL-P4,2014-09-24,1608,1645
164,KL-P4,2014-09-24,1608,1645
164,KL-P4,2014-09-24,1608,1645
164,KL-P4,2014-09-24,1608,1645
164,KL-P4,2014-09-24,1608,1645
164,KL-P4,2014-09-24,1608,1645
164,KL-P4,2014-09-24,1608,1645
164,KL-P4,2014-09-24,1608,1645
164,KL-P4,2014-09-24,1608,1645
164,KL-P4,2014-09-24,1608,1645
164,KL-P4,2014-09-24,1608,1645
164,KL-P4,2014-09-24,1608,1645
164,KL-P4,2014-09-24,1608,1645
164,KL-P4,2014-09-24,1608,1645
164,KL-P4,2014-09-24,1608,1645
164,KL-P4,2014-09-24,1608,1645
164,KL-P4,2014-09-24,1608,1645
164,KL-P4,2014-09-24,1608,1645
164,KL-P4,2014-09-24,1608,1645
164,KL-P4,2014-09-24,1608,1645
164,KL-P4,2014-09-24,1608,1645
164,KL-P4,2014-09-24,1608,1645
164,KL-P4,2014-09-24,1608,1645
165,KL-W2,2014-09-24,950,1030
165,KL-W2,2014-09-24,950,1030
165,KL-W2,2014-09-24,950,1030
165,KL-W2,2014-09-24,950,1030
165,KL-W2,2014-09-24,950,1030
165,KL-W2,2014-09-24,950,1030
165,KL-W2,2014-09-24,950,1030
165,KL-W2,2014-09-24,950,1030
165,KL-W2,2014-09-24,950,1030
165,KL-W2,2014-09-24,950,1030
165,KL-W2,2014-09-24,950,1030
165,KL-W2,2014-09-24,950,1030
165,KL-W2,2014-09-24,950,1030
165,KL-W2,2014-09-24,950,1030
165,KL-W2,2014-09-24,950,1030
165,KL-W2,2014-09-24,950,1030
165,KL-W2,2014-09-24,950,1030
165,KL-W2,2014-09-24,950,1030
165,KL-W2,2014-09-24,950,1030
165,KL-W2,2014-09-24,950,1030
165,KL-W2,2014-09-24,950,1030
165,KL-W2,2014-09-24,950,1030
165,KL-W2,2014-09-24,950,1030
165,KL-W2,2014-09-24,950,1030
165,KL-W2,2014-09-24,950,1030
165,KL-W2,2014-09-24,950,1030
165,KL-W2,2014-09-24,950,1030
165,KL-W2,2014-09-24,950,1030
165,KL-W2,2014-09-24,950,1030
166,KL-W8,2014-09-24,1153,1240
166,KL-W8,2014-09-24,1153,1240
166,KL-W8,2014-09-24,1153,1240
166,KL-W8,2014-09-24,1153,1240
166,KL-W8,2014-09-24,1153,1240
166,KL-W8,2014-09-24,1153,1240
166,KL-W8,2014-09-24,1153,1240
